Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,20,40
JacksonCore_18,No,23,40
Math_77,No,18,40
Compress_11,No,13,40
JacksonCore_4,No,13,40
Closure_171,No,11,40
Compress_30,No,16,40
Closure_174,No,11,40
Compress_45,No,12,40
Closure_57,No,27,40
Lang_20,No,11,40
Closure_107,No,11,32
Csv_16,No,20,40
Jsoup_40,No,20,40
Chart_16,No,7,32
Lang_61,No,6,40
Jsoup_21,No,16,40
Closure_118,No,6,25
Jsoup_2,No,8,40
Codec_2,No,25,40
Math_70,Yes,3,15
Math_12,No,14,40
Lang_27,No,12,40
JacksonCore_24,No,27,36
Cli_33,No,7,40
Codec_15,No,13,40
Math_30,Yes,3,9
Math_45,No,12,40
JacksonCore_12,No,7,40
Cli_26,No,12,40
JacksonCore_23,No,6,40
Csv_11,Yes,1,7
Lang_34,Yes,5,21
Math_87,No,10,40
Closure_155,No,1,10
Csv_2,No,5,40
JacksonCore_20,No,15,40
Math_19,No,11,40
Lang_32,No,24,40
Lang_16,Yes,12,22
Closure_76,No,25,40
JacksonCore_21,No,14,40
Lang_22,Yes,5,15
Math_76,No,23,40
Compress_33,No,14,33
Compress_12,No,13,40
Csv_7,No,11,40
Closure_167,No,12,40
Closure_56,No,17,40
Closure_165,No,13,40
Lang_8,No,12,40
Cli_28,No,13,40
Cli_3,No,17,40
Closure_98,No,8,26
Jsoup_56,No,22,36
Lang_40,No,7,40
Jsoup_38,No,15,40
Codec_11,No,22,40
Closure_31,Yes,3,12
Closure_7,Yes,4,18
Math_31,No,16,40
Closure_80,No,15,40
Closure_27,No,12,40
Closure_47,No,14,40
Compress_36,No,0,5
Cli_25,No,0,6
Math_64,No,24,40
Closure_162,No,16,40
Closure_26,No,3,8
Compress_6,No,9,40
Closure_83,No,15,40
Closure_96,No,18,40
Cli_9,No,15,40
Closure_70,No,7,40
Math_17,No,10,40
Closure_91,No,6,40
JacksonCore_7,No,10,40
Closure_39,No,11,40
Jsoup_34,No,6,40
Closure_14,No,6,40
JacksonCore_8,No,34,40
Closure_52,No,13,36
Closure_158,No,17,35
Lang_47,No,13,40
Cli_38,No,19,40
Lang_18,No,4,40
Closure_29,No,6,15
Closure_35,No,27,40
JacksonCore_6,No,24,40
Math_3,Yes,15,40
Jsoup_27,No,17,40
Jsoup_92,No,16,40
Jsoup_72,No,10,40
Closure_129,No,10,31
Jsoup_76,No,18,40
Jsoup_59,No,10,40
JacksonCore_17,No,19,40
Math_63,No,7,40
Chart_11,No,10,40
Closure_120,No,6,26
Codec_6,No,28,40
Lang_1,No,16,40
JacksonCore_2,No,15,40
Closure_36,No,5,40
Math_4,No,9,40
