Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Math_66,No,23,38
Compress_31,No,7,40
Csv_6,No,12,40
Closure_130,No,10,40
Jsoup_79,No,21,40
Codec_18,No,14,40
Closure_170,No,29,40
Closure_1,No,3,12
Math_5,No,4,23
Math_46,No,13,40
Cli_29,No,12,40
Lang_57,No,4,40
Chart_9,No,10,40
Math_61,No,24,36
Lang_62,No,7,40
Closure_38,No,7,40
Lang_49,No,17,40
Chart_21,No,8,40
Codec_8,No,30,40
Lang_21,Yes,1,5
Compress_41,No,10,40
Cli_12,No,18,40
Closure_16,No,18,40
Closure_78,No,23,40
Chart_8,No,12,40
Jsoup_75,No,14,40
Closure_79,No,14,40
Math_102,No,13,40
Closure_18,No,10,40
Closure_49,No,0,1
Math_59,Yes,2,8
Chart_14,No,11,40
Compress_17,No,12,40
Jsoup_42,No,16,40
Math_57,No,8,40
Jsoup_69,No,10,40
Jsoup_17,Yes,1,7
Math_73,No,4,18
Jsoup_78,No,5,12
Math_51,No,14,37
Lang_35,No,8,40
Cli_39,No,14,40
Math_56,No,33,40
Compress_39,No,10,40
Closure_34,No,11,40
Closure_8,No,18,40
Compress_34,No,14,40
Closure_111,No,15,40
Closure_108,No,7,26
Cli_23,No,20,40
Math_91,No,15,40
Math_96,No,9,40
Jsoup_25,No,7,40
Closure_125,No,9,40
Math_62,No,25,40
Compress_32,No,14,40
Math_26,No,4,40
Jsoup_30,No,13,40
Cli_1,No,24,40
processed_Closure_1,No,7,40
Lang_52,No,14,40
JacksonCore_25,Yes,2,10
Closure_144,No,0,1
Closure_163,No,0,6
Chart_23,No,3,40
Closure_116,No,19,38
Jsoup_90,No,10,40
Math_72,No,20,40
Compress_46,No,18,40
Math_9,No,8,29
Math_37,No,20,40
Closure_168,No,10,40
Math_22,Yes,2,8
Chart_3,No,10,40
Closure_142,No,9,40
Jsoup_13,No,10,40
Chart_17,Yes,1,7
Jsoup_74,No,17,40
Closure_85,No,23,40
Jsoup_44,No,21,40
Math_38,No,9,28
Lang_42,No,18,40
Jsoup_33,No,7,40
Math_41,No,7,29
Closure_104,No,8,40
Lang_48,No,4,40
_,No,0,1073
Csv_3,No,13,40
Closure_11,Yes,4,9
Jsoup_32,No,8,40
Closure_63,No,4,40
Compress_29,No,10,34
Closure_87,No,32,40
Lang_28,No,13,40
Math_16,No,22,40
Closure_172,No,9,40
Compress_28,No,8,40
Math_90,No,11,40
Jsoup_48,Yes,17,40
Chart_12,No,21,40
Codec_17,Yes,4,12
Closure_62,Yes,1,10
Closure_143,No,7,20
Closure_72,No,9,40
Math_52,Yes,2,18
Closure_146,No,8,40
Jsoup_81,No,8,28
Math_67,No,14,40
Jsoup_65,No,10,40
Compress_44,Yes,3,8
Cli_24,No,12,40
Cli_13,No,6,40
Jsoup_11,No,8,40
Closure_50,No,14,40
Compress_3,No,17,34
Lang_46,No,21,40
Closure_60,No,6,40
Jsoup_1,No,15,40
Closure_95,No,12,40
Closure_161,No,12,40
Closure_122,No,9,40
Csv_13,No,11,40
Math_49,No,11,40
Closure_115,No,24,40
Jsoup_68,No,29,40
Math_89,No,10,40
Jsoup_6,No,20,40
Closure_25,No,33,40
Jsoup_52,No,12,40
Jsoup_55,No,13,40
Compress_7,Yes,3,14
Lang_56,No,10,40
Closure_166,No,12,40
Codec_10,No,24,40
Cli_14,Yes,8,23
Compress_27,No,24,40
Closure_128,No,11,40
Closure_119,No,7,32
JacksonCore_5,No,20,37
Cli_18,No,18,40
Closure_135,No,12,40
Closure_2,No,18,40
Closure_15,No,8,40
Codec_1,No,18,40
Lang_41,No,13,40
Codec_4,No,5,34
Closure_164,No,12,32
Closure_141,No,16,40
Lang_33,Yes,2,6
Closure_61,No,9,29
Csv_1,No,9,40
Jsoup_36,No,17,40
Math_97,No,23,37
Math_71,No,16,40
Math_47,No,19,40
Closure_152,No,18,40
Lang_50,No,9,40
Closure_24,No,13,40
Compress_9,No,10,40
JacksonCore_11,No,12,40
Closure_131,No,12,40
Math_79,No,20,40
Math_44,No,18,40
Closure_93,No,4,40
Chart_18,No,15,39
Lang_23,No,8,40
JacksonCore_16,No,14,36
Closure_54,No,16,40
Closure_140,No,20,40
JacksonCore_15,No,14,40
Closure_40,No,5,24
Closure_81,No,6,40
Jsoup_10,No,12,40
Closure_58,No,17,40
Csv_9,No,9,40
Chart_1,Yes,1,6
Closure_138,No,18,40
Math_55,No,25,40
Jsoup_39,No,13,40
JacksonCore_1,No,18,40
Math_14,No,14,40
Closure_3,No,19,40
Lang_6,No,2,9
Lang_44,No,20,40
Jsoup_8,No,11,40
Math_104,Yes,5,15
Compress_16,No,16,33
Math_85,No,9,40
Chart_22,No,23,40
Compress_4,No,13,40
Jsoup_24,No,10,40
Closure_149,No,16,40
Cli_31,No,9,40
Lang_7,No,25,40
Jsoup_35,No,14,40
Jsoup_63,No,10,40
Closure_157,No,12,32
Closure_44,No,13,40
Codec_16,No,2,13
Math_99,No,15,40
Closure_71,No,12,40
Lang_19,No,14,40
Lang_2,No,4,40
Codec_3,Yes,4,28
Chart_19,No,17,40
Jsoup_84,No,13,40
Closure_173,No,15,40
Math_68,No,7,40
Closure_126,Yes,19,40
Cli_22,No,19,40
Math_58,No,11,40
Csv_5,No,9,40
Jsoup_70,No,12,40
Chart_13,Yes,1,7
Compress_10,No,10,40
Jsoup_16,No,13,40
Compress_40,No,24,40
Chart_10,No,12,40
Closure_65,No,9,23
Closure_82,No,8,40
Chart_25,No,21,40
Math_43,No,18,40
Math_25,No,4,40
Jsoup_15,Yes,1,7
Jsoup_58,No,7,40
Chart_26,No,8,34
Math_78,No,7,40
Compress_24,No,31,40
Closure_137,No,11,34
Closure_84,No,14,39
Lang_9,No,5,40
Cli_35,No,8,40
Math_10,No,8,33
Closure_73,No,12,40
Cli_15,No,25,40
Math_11,No,16,26
Math_48,No,11,40
JacksonCore_3,No,3,9
Math_80,No,0,1
Closure_66,No,10,40
Codec_9,No,0,1
Closure_10,No,6,40
Closure_106,No,5,40
Chart_4,No,14,40
Closure_89,No,15,37
Closure_133,No,6,40
Lang_29,Yes,1,6
Chart_5,No,20,40
Closure_48,No,14,40
Lang_60,No,15,40
Math_69,No,14,40
Jsoup_73,No,33,40
Closure_21,No,8,19
Jsoup_29,No,17,40
Lang_54,No,13,40
Jsoup_28,No,21,40
Closure_46,No,25,40
Jsoup_91,No,7,40
Cli_21,No,14,40
Closure_97,No,18,40
JacksonCore_19,No,15,40
Closure_127,No,15,40
Cli_30,No,17,40
Closure_12,No,9,40
Jsoup_83,No,9,40
Jsoup_64,No,16,40
Math_82,Yes,3,10
Chart_2,No,16,40
Cli_32,No,13,40
Closure_69,No,11,40
Math_81,No,14,40
Cli_20,No,26,40
Cli_36,No,12,40
Math_84,No,18,40
JacksonCore_22,No,14,40
Jsoup_43,No,14,40
Math_29,No,15,40
Jsoup_4,No,11,40
Lang_17,No,33,40
Closure_102,No,7,40
Jsoup_45,No,8,40
Codec_13,No,20,40
Closure_5,No,6,16
Csv_14,No,6,40
Compress_2,No,21,37
Closure_67,No,8,40
Lang_5,No,15,40
Closure_68,No,16,40
Closure_169,No,14,31
Chart_24,No,19,40
Cli_11,Yes,3,9
Closure_41,No,9,40
Math_34,No,10,40
Math_88,No,20,40
Closure_19,No,10,38
Closure_92,No,14,40
Jsoup_46,No,18,40
Chart_15,No,8,40
Closure_124,No,12,40
Compress_1,No,7,40
Closure_154,No,19,40
Cli_10,No,10,40
Lang_30,No,22,30
Closure_117,No,15,40
Jsoup_50,No,19,40
Lang_24,No,7,40
Closure_6,No,31,40
Closure_148,No,5,21
Compress_8,No,26,40
Closure_28,No,0,4
Math_8,No,15,40
Cli_19,No,19,40
Jsoup_7,No,14,39
Jsoup_41,No,10,40
Math_40,No,7,40
Closure_55,No,9,40
Math_23,No,9,25
Jsoup_87,No,15,28
Compress_21,No,14,40
Math_18,No,22,40
Jsoup_77,Yes,21,37
Jsoup_89,No,16,40
Lang_45,No,21,40
Chart_6,No,9,40
Math_75,No,9,40
Jsoup_9,No,0,5
Lang_25,No,0,18
Math_27,No,14,37
Lang_55,No,6,40
Codec_12,No,15,40
Closure_151,No,6,20
Cli_4,No,20,40
Compress_15,No,10,40
Lang_39,No,16,40
Compress_43,No,23,40
Compress_26,No,8,27
Closure_43,No,8,40
Csv_4,No,7,40
Cli_5,No,26,40
Lang_4,No,16,40
Jsoup_47,No,11,40
Lang_38,No,15,40
Math_42,No,8,40
Cli_37,No,21,40
Compress_37,No,12,40
Jsoup_54,No,22,40
Jsoup_57,No,12,40
Compress_5,No,12,40
Closure_99,No,14,40
Closure_114,No,5,17
Jsoup_66,No,21,40
Math_101,No,11,40
Jsoup_19,No,10,40
Jsoup_61,No,14,40
Cli_2,No,7,40
Math_93,No,19,40
Closure_147,No,0,1
Math_86,No,16,39
Math_95,No,11,40
Math_60,No,12,40
Closure_33,No,11,40
Compress_13,No,6,40
Cli_34,No,10,40
Closure_105,No,14,40
Closure_74,No,5,25
Math_20,No,22,40
Closure_64,No,32,40
Compress_42,No,16,40
Codec_7,Yes,1,12
Math_106,No,16,40
JacksonCore_9,No,10,40
Closure_103,No,12,40
Lang_10,No,27,40
Lang_37,No,14,40
Closure_9,No,13,40
Math_54,No,9,40
Jsoup_88,No,8,40
Jsoup_53,No,17,40
Math_2,No,16,40
Compress_35,Yes,3,8
Compress_14,No,17,40
Math_33,No,20,40
Jsoup_18,No,20,40
Lang_3,No,14,40
Math_83,No,5,40
Closure_123,No,11,40
JacksonCore_26,No,6,40
Math_98,No,28,40
Lang_53,No,32,40
Math_103,No,28,40
Cli_17,No,18,40
Closure_121,No,8,40
processed_Cli_24,No,11,40
Math_1,No,15,40
Lang_13,No,16,40
Jsoup_22,No,27,40
Codec_14,No,7,40
Jsoup_60,No,14,40
Cli_27,No,6,40
Jsoup_67,No,11,40
Compress_38,No,7,40
Compress_22,No,10,37
Closure_37,No,18,40
JacksonCore_14,No,30,40
Closure_77,No,14,40
Math_15,No,13,36
Csv_12,No,9,40
Closure_23,No,28,40
Closure_59,No,12,40
Compress_47,No,14,40
Math_6,No,6,28
Closure_75,No,13,40
Math_53,No,10,40
Closure_90,No,14,40
Cli_7,No,21,40
Closure_156,No,20,34
JacksonCore_10,No,27,40
Lang_36,No,6,31
Lang_12,No,15,40
Jsoup_37,No,9,40
Closure_53,No,18,40
Compress_19,No,11,40
Closure_20,No,15,40
Closure_88,No,20,40
Compress_18,No,10,40
Math_21,No,23,35
Csv_10,Yes,6,25
Csv_15,No,17,40
Closure_113,No,6,40
JacksonCore_13,No,12,40
Lang_15,No,10,40
Jsoup_80,No,17,40
Jsoup_23,No,14,40
Math_13,No,13,40
Lang_14,No,7,40
Closure_134,No,16,40
Jsoup_62,No,18,40
Closure_51,No,13,40
Math_35,No,14,40
Closure_136,No,23,40
Closure_110,No,22,40
Jsoup_12,No,15,40
Math_32,No,11,40
Jsoup_71,No,8,39
Lang_51,No,9,40
Math_65,No,34,40
Closure_94,No,9,40
Compress_23,No,10,40
Lang_58,No,8,40
Lang_63,No,32,40
Compress_20,No,32,40
Closure_100,No,13,40
Closure_30,No,14,40
Jsoup_3,No,12,32
Csv_8,Yes,24,36
Closure_17,No,15,40
Jsoup_86,No,13,31
Math_36,No,20,40
Closure_109,No,12,23
Cli_16,No,14,40
Closure_150,No,5,40
Lang_26,No,4,40
Jsoup_26,No,8,40
Lang_31,No,12,40
Chart_20,Yes,2,11
Closure_45,No,13,40
Closure_22,No,19,31
Math_28,No,9,40
Closure_139,No,9,40
Codec_5,No,9,34
Closure_132,No,6,40
Closure_86,No,0,7
Closure_145,No,15,40
Closure_153,No,4,40
Closure_159,No,13,40
Closure_112,No,9,40
Jsoup_85,No,10,40
Jsoup_31,No,16,40
Compress_25,No,11,40
Lang_59,No,8,40
Closure_4,No,13,40
Jsoup_20,No,27,40
Math_105,No,13,40
Closure_160,No,16,40
Math_100,No,9,40
Cli_6,No,0,29
Math_92,No,33,40
Closure_42,No,11,40
Math_50,No,9,40
Jsoup_82,No,7,30
Jsoup_14,No,10,40
Math_74,No,15,40
Closure_101,No,11,40
Jsoup_93,No,20,40
Math_94,No,1,7
