Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Closure_15,No,6,21
Codec_1,No,11,40
Lang_41,No,19,40
Codec_4,No,6,40
Closure_164,No,15,32
Closure_141,No,11,40
Lang_33,No,11,40
Closure_61,No,6,37
Csv_1,No,9,40
Jsoup_36,No,13,40
Math_97,No,13,25
Math_47,No,16,40
Closure_152,No,6,40
Lang_50,No,28,40
Closure_24,No,22,40
Compress_9,No,14,40
JacksonCore_11,No,9,40
Closure_131,No,12,40
Math_79,No,8,40
Math_44,No,14,40
Closure_93,No,3,40
Chart_18,No,9,40
Lang_23,No,8,40
JacksonCore_16,No,17,40
Closure_54,No,5,40
Closure_140,No,31,40
JacksonCore_15,No,23,40
Closure_40,Yes,3,10
Closure_81,No,6,40
Jsoup_10,No,10,40
Closure_58,No,5,40
Csv_9,No,1,8
Chart_1,Yes,9,26
Closure_138,No,18,40
Math_55,No,20,40
Jsoup_39,No,10,40
JacksonCore_1,No,5,40
Math_14,No,8,40
Closure_3,No,7,25
processed_Cli_5,No,13,40
Lang_6,No,1,31
Lang_44,No,7,40
Jsoup_8,No,11,27
Math_104,Yes,5,9
Compress_16,No,6,40
Math_85,No,11,40
Chart_22,No,17,40
Compress_4,No,10,40
Jsoup_24,No,15,40
Closure_149,No,19,40
Cli_31,No,10,40
Lang_7,No,7,40
Jsoup_35,No,14,40
Jsoup_63,No,27,40
Closure_157,No,10,40
Closure_44,No,16,40
Codec_16,No,11,40
Closure_71,No,5,29
Lang_19,No,13,40
Lang_2,No,7,40
Codec_3,Yes,10,33
Chart_19,No,12,40
Jsoup_84,No,7,40
Closure_173,No,24,40
Math_68,No,12,40
Closure_126,Yes,4,10
Cli_22,No,18,40
Math_58,No,10,28
Csv_5,No,11,40
Jsoup_70,No,17,40
Chart_13,Yes,1,5
Compress_10,No,17,40
Jsoup_16,No,20,40
Compress_40,No,5,40
Chart_10,No,5,40
Closure_65,No,15,40
Closure_82,No,7,40
Chart_25,No,15,39
Math_43,No,5,40
Math_25,No,22,40
Jsoup_15,No,11,40
Jsoup_58,No,20,40
Chart_26,No,9,36
Math_78,No,5,40
Compress_24,No,33,40
Closure_137,No,22,40
Closure_84,No,16,40
Lang_9,No,5,40
Cli_35,No,7,40
Math_10,No,7,19
Closure_73,No,16,40
processed_Cli_3,No,16,40
Cli_15,No,26,40
Math_11,No,17,28
Math_48,No,8,38
JacksonCore_3,No,8,40
Math_80,Yes,2,8
Closure_66,No,23,40
Codec_9,Yes,1,6
Closure_10,No,9,40
Closure_106,No,17,40
Chart_4,No,16,40
Closure_89,No,4,13
Closure_133,No,5,40
Lang_29,Yes,3,13
Chart_5,No,16,40
Closure_48,No,10,40
Lang_60,Yes,2,9
Math_69,No,10,40
Jsoup_73,No,13,40
Closure_21,No,23,40
Jsoup_29,No,17,40
Lang_54,No,7,40
Jsoup_28,No,18,26
Closure_46,No,27,40
Jsoup_91,No,11,40
Cli_21,No,1,40
Closure_97,Yes,2,8
JacksonCore_19,No,10,40
Closure_127,No,7,22
Cli_30,No,17,40
Closure_12,No,6,23
Jsoup_83,No,13,40
Jsoup_64,No,8,26
Math_82,Yes,1,9
Chart_2,No,13,40
Cli_32,No,12,40
Closure_69,No,6,26
Math_81,No,23,40
Cli_20,No,9,40
Cli_36,No,20,40
JacksonCore_22,No,27,39
Jsoup_43,No,17,40
Math_29,No,16,35
Jsoup_4,No,11,40
Lang_17,No,15,40
Closure_102,No,12,40
Jsoup_45,Yes,10,37
Jsoup_49,No,0,13
Codec_13,No,14,40
Closure_5,No,8,27
Csv_14,No,7,40
Compress_2,No,30,40
Closure_67,No,9,40
Lang_5,No,10,40
Closure_68,No,9,39
Closure_169,No,15,29
Chart_24,No,8,40
Cli_11,Yes,1,7
Closure_41,No,11,32
Math_34,Yes,1,13
Math_88,No,21,40
Closure_19,No,16,31
Closure_92,No,8,40
Jsoup_46,No,11,40
Chart_15,No,8,40
Closure_124,No,18,40
Compress_1,No,8,40
Closure_154,No,21,40
Cli_10,No,15,40
Lang_30,No,19,40
Closure_117,No,14,40
Jsoup_50,No,19,40
Lang_24,No,9,40
Closure_6,No,17,40
Closure_148,No,11,24
Compress_8,No,28,40
Closure_28,No,0,6
Math_8,No,11,40
Cli_19,No,20,40
Jsoup_7,No,15,40
Jsoup_41,No,8,40
Math_40,No,10,40
Closure_55,No,26,33
Math_23,No,17,28
Jsoup_87,No,13,21
Compress_21,No,11,40
Math_18,No,27,40
