Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,15,40
JacksonCore_18,No,29,39
Math_77,No,27,40
Compress_11,No,13,40
JacksonCore_4,No,24,40
Closure_171,No,14,40
Compress_30,No,16,40
Closure_174,No,13,40
Compress_45,No,16,40
Closure_57,No,19,40
Lang_20,No,5,40
Closure_107,No,10,40
Csv_16,No,19,40
Jsoup_40,No,8,40
Chart_16,No,10,40
Lang_61,No,18,40
Jsoup_21,No,14,40
Closure_118,No,10,40
Jsoup_2,No,10,40
Codec_2,No,10,40
Math_70,Yes,2,14
Math_12,No,13,40
Lang_27,No,10,40
JacksonCore_24,No,30,40
Cli_33,No,19,40
Codec_15,No,21,40
Math_30,Yes,1,6
JacksonCore_12,No,14,40
Cli_26,No,23,40
JacksonCore_23,No,6,40
Csv_11,Yes,1,6
Lang_34,No,12,40
Math_87,No,16,40
Closure_155,No,5,16
Csv_2,No,6,34
JacksonCore_20,No,15,40
Math_19,No,6,40
Lang_32,No,13,40
Lang_16,Yes,1,6
Closure_76,No,21,40
Lang_22,No,12,40
Math_76,No,17,40
Compress_33,No,4,40
Compress_12,No,5,40
Csv_7,No,5,40
Closure_167,No,18,40
Closure_56,No,12,40
Closure_165,No,14,36
Lang_8,No,9,40
Cli_28,No,7,40
Cli_3,No,10,16
Closure_98,No,14,40
Jsoup_56,No,25,35
Lang_40,No,10,40
Jsoup_38,No,12,40
Codec_11,No,13,40
Closure_31,No,6,40
Closure_7,No,23,40
Math_31,No,16,32
Closure_80,No,20,40
Closure_27,No,15,40
Closure_47,No,13,40
Math_64,No,27,35
Closure_162,No,22,40
Closure_26,No,3,8
Compress_6,No,12,40
Closure_83,No,10,40
Closure_96,No,21,40
Cli_9,No,25,40
Closure_70,No,9,40
Math_17,No,6,33
Closure_91,No,17,29
JacksonCore_7,No,16,40
Closure_39,No,18,40
Jsoup_34,No,12,40
Closure_14,No,9,31
JacksonCore_8,No,7,40
Closure_52,No,17,40
Closure_158,No,11,19
Lang_47,No,15,40
Cli_38,No,15,40
Lang_18,No,5,40
Closure_29,No,19,40
Closure_35,No,24,40
JacksonCore_6,No,14,40
Math_3,No,19,40
Jsoup_27,No,7,40
Jsoup_92,No,8,37
Jsoup_72,No,25,40
Closure_129,No,9,20
Jsoup_76,No,10,40
Jsoup_59,No,16,40
Math_63,No,13,40
Chart_11,Yes,8,16
Closure_120,No,11,40
Codec_6,No,8,40
Lang_1,No,15,40
JacksonCore_2,No,17,40
Closure_36,No,7,40
Math_4,No,9,40
Math_66,No,20,38
Compress_31,No,8,40
Csv_6,No,9,40
Closure_130,No,17,40
Jsoup_79,No,24,40
Codec_18,No,5,40
Closure_170,No,22,40
Closure_1,No,12,40
Math_5,No,9,37
Math_46,No,7,40
Cli_29,No,19,40
Lang_57,No,26,40
Chart_9,Yes,5,13
Math_61,No,22,40
Lang_62,No,11,40
Closure_38,No,10,40
Lang_49,No,9,40
Chart_21,No,16,40
Codec_8,No,24,40
Lang_21,Yes,1,7
Compress_41,No,14,40
Cli_12,No,5,40
Closure_16,No,22,40
Closure_78,No,10,40
Chart_8,No,15,40
Jsoup_75,No,15,40
Closure_79,No,13,33
Math_102,No,12,40
Closure_18,Yes,1,6
Closure_49,No,0,1
Math_59,Yes,1,6
Chart_14,No,8,28
Compress_17,No,9,40
Jsoup_42,No,19,40
Jsoup_69,No,4,40
Jsoup_17,Yes,1,6
Math_73,No,8,40
Jsoup_78,No,17,40
Math_51,No,13,35
Lang_35,No,3,25
Cli_39,No,17,40
Math_56,No,12,40
Compress_39,No,12,40
Closure_34,No,19,40
Closure_8,No,10,40
Compress_34,No,14,40
Closure_111,Yes,10,22
Closure_108,No,11,40
Cli_23,No,28,40
Math_91,No,16,24
Math_96,No,9,40
Jsoup_25,Yes,2,7
Closure_125,No,5,40
Math_62,No,9,40
Compress_32,Yes,3,9
Math_26,No,18,40
Jsoup_30,No,25,40
Cli_1,No,21,40
Lang_52,No,7,40
JacksonCore_25,Yes,3,12
Closure_144,No,0,1
Closure_163,No,0,2
Chart_23,No,6,40
Closure_116,No,15,40
Jsoup_90,No,17,40
Math_72,No,9,40
Compress_46,No,16,40
Math_9,No,10,37
Math_37,No,22,40
Closure_168,Yes,5,13
Math_22,No,11,40
Chart_3,No,14,40
Closure_142,No,20,40
Jsoup_13,No,12,40
Chart_17,No,6,26
Jsoup_74,No,22,40
Closure_85,No,32,40
Jsoup_44,No,16,40
Math_38,No,18,40
Lang_42,No,9,40
Jsoup_33,No,11,40
Math_41,No,9,35
Closure_104,No,10,40
Lang_48,No,0,15
_,No,0,197
Csv_3,No,24,40
Closure_11,No,15,40
Jsoup_32,No,13,40
Closure_63,No,4,40
Compress_29,No,13,40
Closure_87,No,1,40
Lang_28,No,11,40
Math_16,No,27,40
Closure_172,No,8,40
Compress_28,No,14,40
Math_90,No,28,40
Jsoup_48,No,13,40
Chart_12,No,12,40
Codec_17,No,17,40
Closure_62,Yes,1,7
Closure_143,No,17,40
Closure_72,No,17,40
Math_52,No,19,40
Closure_146,No,8,40
Jsoup_81,No,8,20
Math_67,No,11,40
Jsoup_65,No,24,40
Compress_44,Yes,3,14
Cli_24,No,17,40
Cli_13,No,15,40
Jsoup_11,No,21,40
Closure_50,No,11,40
Compress_3,No,13,40
Lang_46,No,15,26
Closure_60,No,9,40
Jsoup_1,No,19,40
Closure_95,No,8,40
Closure_161,No,7,31
Closure_122,No,17,40
Csv_13,No,17,40
Math_49,No,19,40
Closure_115,No,12,40
Jsoup_68,No,28,40
Math_89,No,12,40
Jsoup_6,No,11,40
Closure_25,No,25,40
Jsoup_52,No,9,40
Jsoup_55,No,9,40
Compress_7,No,20,40
Lang_56,No,12,40
Closure_166,No,14,40
Codec_10,No,10,40
Cli_14,No,9,40
Compress_27,No,11,34
Closure_128,No,18,40
Closure_119,No,7,40
Cli_18,No,9,18
Closure_135,No,12,40
Closure_2,No,18,40
Closure_15,No,6,21
Codec_1,No,18,40
Lang_41,No,28,40
Codec_4,No,7,40
Closure_164,No,16,35
Closure_141,No,10,40
Lang_33,No,17,40
Closure_61,No,0,1
Csv_1,No,8,40
Jsoup_36,No,8,40
Math_97,No,25,40
Math_47,No,20,40
Closure_152,Yes,6,22
Lang_50,No,21,40
Closure_24,No,21,40
Compress_9,No,9,40
JacksonCore_11,No,7,40
Closure_131,No,21,40
Math_79,No,4,40
Math_44,No,6,40
Closure_93,No,4,40
Chart_18,No,24,40
