Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Lang_23,No,13,40
JacksonCore_16,No,20,40
Closure_54,No,19,40
Closure_140,No,22,40
JacksonCore_15,No,7,40
Closure_40,No,13,40
Closure_81,No,7,40
Jsoup_10,No,11,40
Closure_58,No,13,35
Csv_9,No,30,40
Chart_1,Yes,2,8
Closure_138,No,13,40
Math_55,No,20,40
Jsoup_39,No,7,40
JacksonCore_1,No,9,40
Math_14,No,16,40
Closure_3,No,6,12
Lang_6,No,3,9
Lang_44,No,8,40
Jsoup_8,No,11,40
Math_104,Yes,2,7
Compress_16,No,14,40
Math_85,Yes,1,7
Chart_22,No,33,40
Compress_4,No,10,40
Jsoup_24,No,10,40
Closure_149,No,17,40
Cli_31,No,16,40
Lang_7,No,18,40
Jsoup_35,No,9,40
Jsoup_63,No,26,40
Closure_157,No,6,27
Closure_44,No,13,40
Codec_16,Yes,1,10
Closure_71,No,5,40
Lang_19,No,10,40
Lang_2,No,5,40
Codec_3,No,0,5
Chart_19,No,12,40
Jsoup_84,No,8,40
Closure_173,No,9,40
Math_68,No,17,39
Closure_126,No,13,40
Cli_22,No,22,40
Math_58,No,8,26
Csv_5,No,8,40
Jsoup_70,No,23,40
Chart_13,Yes,1,4
Compress_10,No,10,40
Jsoup_16,No,19,40
Compress_40,No,18,40
Chart_10,No,12,40
Closure_65,No,12,40
Closure_82,No,8,30
Chart_25,No,11,40
Math_43,No,11,40
Math_25,No,25,40
Jsoup_15,Yes,4,32
Jsoup_58,No,2,40
Chart_26,No,7,26
Math_78,No,10,40
Compress_24,No,24,40
Closure_137,No,20,36
Closure_84,No,6,40
Lang_9,No,5,40
Cli_35,No,6,40
Math_10,No,8,31
Closure_73,No,8,40
Cli_15,No,21,40
Math_11,No,22,35
Math_48,No,22,40
Math_80,Yes,11,40
Closure_66,No,19,40
Codec_9,Yes,1,6
Closure_10,No,9,40
Closure_106,No,12,40
Chart_4,No,9,40
Closure_89,No,4,16
Closure_133,No,10,40
Lang_29,Yes,1,11
Chart_5,No,7,40
Closure_48,No,14,40
Lang_60,Yes,2,7
Math_69,Yes,2,7
Jsoup_73,No,13,40
Closure_21,No,19,40
Jsoup_29,No,12,34
Lang_54,No,9,40
Jsoup_28,No,14,40
Closure_46,No,19,40
Jsoup_91,No,10,40
Cli_21,No,12,40
Closure_97,No,12,38
JacksonCore_19,No,13,40
Closure_127,No,19,32
Cli_30,No,17,40
Closure_12,No,8,40
Jsoup_83,No,10,40
Jsoup_64,No,19,40
Math_82,Yes,4,15
Chart_2,No,9,40
Cli_32,No,20,40
Closure_69,No,9,40
Math_81,No,13,40
Cli_20,No,20,40
Cli_36,No,17,40
JacksonCore_22,No,18,40
Jsoup_43,No,8,40
Math_29,No,19,40
Jsoup_4,No,10,40
Lang_17,No,18,40
Closure_102,No,15,40
Jsoup_45,No,16,40
Codec_13,No,18,40
Closure_5,No,10,34
Csv_14,No,9,40
Compress_2,No,13,40
Closure_67,No,9,40
Lang_5,No,18,40
Closure_68,No,32,40
Closure_169,No,19,39
Chart_24,No,11,40
Cli_11,Yes,22,40
Closure_41,No,8,31
Math_34,No,10,40
Math_88,No,21,40
Closure_19,No,13,40
Closure_92,No,7,40
Jsoup_46,No,16,40
Chart_15,No,20,40
Closure_124,No,13,40
Compress_1,No,10,40
Closure_154,No,22,40
Cli_10,No,12,40
Lang_30,No,29,40
Closure_117,No,15,40
Jsoup_50,No,23,40
Lang_24,No,26,40
Closure_6,No,16,40
Closure_148,No,5,17
Compress_8,No,28,40
Closure_28,No,0,11
Math_8,No,14,40
Cli_19,No,18,40
Jsoup_7,No,18,40
Jsoup_41,No,8,40
Math_40,No,9,40
Closure_55,No,8,40
Jsoup_87,No,15,25
Compress_21,No,15,40
Math_18,No,17,40
Jsoup_77,No,17,40
Jsoup_89,No,16,40
Lang_45,No,10,37
Chart_6,No,21,40
Math_75,No,17,36
Jsoup_9,No,10,40
Lang_25,No,0,15
Math_27,No,6,40
Lang_55,No,8,40
Codec_12,No,7,40
Closure_151,No,17,40
Cli_4,No,15,40
Compress_15,No,31,40
Lang_39,No,13,40
Compress_43,No,29,40
Closure_43,No,14,40
Csv_4,No,5,40
Cli_5,No,12,40
Lang_4,No,18,40
Jsoup_47,No,11,40
Lang_38,No,9,40
Math_42,No,8,40
Cli_37,No,17,40
Compress_37,No,6,40
Jsoup_54,Yes,1,6
Closure_99,No,12,40
Closure_114,No,5,35
Jsoup_66,No,12,40
Math_101,Yes,16,40
Jsoup_19,No,11,40
Jsoup_61,No,18,40
Cli_2,No,12,40
Math_93,No,28,40
Closure_147,No,0,1
Math_86,No,18,40
Math_95,No,10,40
Math_60,No,25,40
Closure_33,No,9,40
Compress_13,No,10,40
Cli_34,No,11,40
Closure_105,No,11,40
Closure_74,No,12,40
Math_20,No,15,40
Closure_64,No,11,40
Compress_42,No,21,40
Codec_7,Yes,12,37
Math_106,No,8,40
JacksonCore_9,No,26,40
Closure_103,No,18,40
Lang_10,No,32,40
Lang_37,No,7,40
Closure_9,No,8,40
Math_54,No,14,40
Jsoup_88,No,10,40
Jsoup_53,No,16,40
Math_2,No,13,31
Compress_35,No,23,40
Compress_14,No,25,40
Math_33,No,19,40
Jsoup_18,No,28,40
Lang_3,No,14,40
Math_83,No,8,40
Closure_123,No,4,40
JacksonCore_26,No,7,40
Math_98,No,20,40
Lang_53,No,24,40
Math_103,No,19,40
Cli_17,No,12,40
Closure_121,No,6,40
Math_1,No,15,40
Lang_13,No,22,40
Jsoup_22,No,15,40
Codec_14,No,12,40
Jsoup_60,No,10,40
Cli_27,No,10,40
Jsoup_67,No,8,40
Compress_38,No,8,40
Compress_22,No,21,40
Closure_37,No,4,40
JacksonCore_14,No,24,40
Closure_77,No,8,40
Math_15,No,11,40
Csv_12,No,9,40
Closure_23,No,20,40
Closure_59,No,11,40
Compress_47,No,9,20
Math_6,No,5,24
Closure_75,No,14,40
Math_53,Yes,2,10
Closure_90,No,13,40
Cli_7,No,11,40
Closure_156,No,15,25
JacksonCore_10,No,19,40
Lang_36,No,13,40
Lang_12,No,18,40
Jsoup_37,No,12,40
Closure_53,No,14,37
Compress_19,No,15,40
Closure_20,No,11,40
Closure_88,No,7,28
Compress_18,No,11,40
Math_21,No,35,40
Csv_10,No,15,40
Csv_15,No,10,40
Closure_113,No,7,25
JacksonCore_13,No,7,40
Lang_15,No,13,40
Jsoup_80,No,14,40
Jsoup_23,No,16,40
Math_13,No,16,40
Lang_14,No,14,40
Closure_134,No,14,37
Jsoup_62,No,12,40
Closure_51,No,28,40
Math_35,No,10,40
Closure_136,No,28,40
Closure_110,No,27,40
Jsoup_12,No,23,40
Math_32,No,9,40
Jsoup_71,No,11,40
Lang_51,Yes,13,28
Math_65,No,15,21
Closure_94,No,14,40
Compress_23,No,7,40
Lang_58,No,18,40
Lang_63,No,25,40
Compress_20,No,18,40
Closure_100,No,12,23
Closure_30,No,9,40
Jsoup_3,No,11,25
Csv_8,No,14,40
Closure_17,No,17,40
Jsoup_86,No,28,40
Math_36,No,13,30
Closure_109,No,8,40
Cli_16,No,7,40
Closure_150,No,8,40
Lang_26,No,6,40
Jsoup_26,No,8,40
Lang_31,No,8,40
Chart_20,Yes,1,6
Closure_45,No,13,40
Closure_22,No,28,40
Math_28,No,24,40
Closure_139,No,9,40
Codec_5,No,4,31
Closure_132,No,8,40
Closure_86,No,11,40
Closure_145,No,17,40
Closure_153,No,23,32
Closure_159,No,14,32
Closure_112,No,26,40
Jsoup_85,No,16,40
Jsoup_31,No,8,32
Compress_25,No,7,40
Lang_59,No,7,40
Closure_4,No,12,40
Jsoup_20,No,26,40
Math_105,Yes,3,8
Closure_160,No,14,36
Math_100,No,13,40
Cli_6,No,0,32
Math_92,No,28,39
Closure_42,No,11,40
Math_50,Yes,7,40
Jsoup_82,No,16,40
Jsoup_14,No,8,40
Closure_101,Yes,13,39
Jsoup_93,No,24,40
