Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,23,40
JacksonCore_18,No,14,40
Math_77,No,27,40
Compress_11,No,12,40
JacksonCore_4,No,15,40
Closure_171,No,19,40
Compress_30,No,8,40
Closure_174,No,12,40
Compress_45,No,14,40
Closure_57,No,15,40
Lang_20,No,5,40
Closure_107,No,10,39
Csv_16,No,16,40
Jsoup_40,No,6,40
Chart_16,No,18,40
Lang_61,No,21,40
Jsoup_21,No,19,40
Closure_118,No,8,17
Jsoup_2,No,9,40
Codec_2,No,7,40
Math_70,No,13,40
Math_12,No,8,40
Lang_27,No,17,40
JacksonCore_24,No,19,40
Cli_33,No,12,40
Codec_15,No,34,40
Math_30,Yes,2,7
Math_45,No,13,40
JacksonCore_12,No,21,35
Cli_26,No,18,40
JacksonCore_23,No,6,40
Csv_11,Yes,1,5
Lang_34,No,13,40
Math_87,No,11,40
Closure_155,No,2,9
Csv_2,No,9,40
JacksonCore_20,No,12,40
Math_19,No,7,40
Lang_32,No,19,40
Lang_16,No,15,40
Closure_76,No,27,40
JacksonCore_21,No,26,40
Lang_22,Yes,2,7
Math_76,No,28,40
Compress_33,No,11,40
Compress_12,No,19,40
Csv_7,No,13,28
Closure_167,No,13,40
Closure_56,No,18,40
Closure_165,No,5,40
Lang_8,No,12,40
Cli_28,No,17,40
Cli_3,No,8,32
Closure_98,No,13,40
Jsoup_56,No,10,40
Lang_40,No,7,40
Jsoup_38,No,8,40
Codec_11,No,12,40
Closure_31,No,6,40
Closure_7,No,11,40
Math_31,No,23,38
Closure_80,No,10,40
Closure_27,No,12,40
Closure_47,No,21,40
Cli_25,No,2,8
Math_64,No,17,31
Closure_162,No,17,40
Closure_26,No,0,4
Compress_6,No,18,40
Closure_83,No,11,40
Closure_96,No,4,40
Cli_9,No,20,40
Closure_70,No,12,40
Math_17,No,6,34
Closure_91,No,6,40
JacksonCore_7,No,19,40
Closure_39,No,18,40
Jsoup_34,No,16,40
Closure_14,No,7,40
JacksonCore_8,No,8,40
Closure_52,No,24,37
Closure_158,No,19,40
Lang_47,No,16,40
Cli_38,No,17,40
Lang_18,No,5,40
Closure_29,No,6,25
Closure_35,No,23,40
JacksonCore_6,No,12,40
Math_3,No,13,40
Jsoup_27,No,9,40
Jsoup_92,No,9,40
Jsoup_72,No,10,40
Closure_129,No,8,20
Jsoup_76,No,12,40
Jsoup_59,No,20,40
JacksonCore_17,No,6,15
Math_63,No,8,40
Chart_11,Yes,2,11
Closure_120,No,3,10
Codec_6,No,14,40
Lang_1,No,16,40
JacksonCore_2,No,19,40
Closure_36,No,9,40
Math_4,No,12,40
Math_66,No,24,40
Compress_31,No,9,33
Csv_6,No,8,40
Closure_130,No,13,40
Jsoup_79,No,11,40
Codec_18,No,8,40
Closure_170,No,13,40
Closure_1,No,8,23
Math_5,No,10,40
Math_46,No,11,27
Cli_29,No,16,40
Lang_57,Yes,3,11
Chart_9,No,13,40
Math_61,No,6,20
Lang_62,No,13,40
Closure_38,Yes,1,4
Lang_49,No,10,40
Chart_21,No,3,11
Codec_8,No,31,40
Lang_21,Yes,1,7
Compress_41,No,4,36
Cli_12,No,12,40
Closure_16,No,16,40
Closure_78,No,20,38
Chart_8,No,8,40
Jsoup_75,No,16,40
Closure_79,No,16,40
Math_102,No,7,40
Closure_18,No,7,40
Closure_49,No,29,35
Math_59,Yes,1,10
Chart_14,No,14,40
Compress_17,No,8,40
Jsoup_42,No,16,40
Math_57,No,2,11
Jsoup_69,No,11,40
Jsoup_17,Yes,1,6
Math_73,No,11,40
Jsoup_78,No,4,18
Math_51,No,14,40
Lang_35,No,8,40
Cli_39,No,8,40
Math_56,No,18,40
Compress_39,No,12,40
Closure_34,No,18,40
Closure_8,No,5,40
Compress_34,No,11,34
Closure_111,No,11,32
Closure_108,No,10,40
Cli_23,No,28,40
Math_91,No,17,40
Math_96,No,7,40
Jsoup_25,Yes,1,9
Closure_125,No,6,40
Math_62,No,26,40
Compress_32,Yes,2,12
Math_26,No,7,40
Jsoup_30,No,14,40
Cli_1,No,30,40
Lang_52,No,8,40
JacksonCore_25,Yes,2,8
Closure_144,No,0,1
Closure_163,No,0,3
Chart_23,No,9,40
Closure_116,No,10,25
Jsoup_90,No,14,40
Math_72,Yes,8,40
Compress_46,No,12,40
Math_9,No,5,9
Math_37,No,21,40
Closure_168,No,10,40
Math_22,Yes,13,40
Chart_3,No,9,40
Closure_142,No,11,40
Jsoup_13,No,9,40
Chart_17,Yes,3,10
Jsoup_74,No,14,40
Closure_85,No,30,40
Jsoup_44,No,16,40
Math_38,No,3,40
Lang_42,No,16,40
Jsoup_33,No,7,40
Math_41,No,17,40
Closure_104,No,10,40
Lang_48,No,5,40
_,No,0,726
Csv_3,No,17,40
Closure_11,Yes,5,14
Jsoup_32,No,5,40
Closure_63,No,4,40
Compress_29,No,13,40
Closure_87,No,26,40
Lang_28,No,11,40
Math_16,No,17,40
Closure_172,No,20,40
Compress_28,No,8,40
Math_90,No,17,40
Jsoup_48,No,15,40
Chart_12,No,9,40
Codec_17,Yes,2,8
Closure_62,Yes,2,9
Closure_143,No,25,40
Closure_72,No,27,40
Math_52,No,7,40
Closure_146,No,15,40
Jsoup_81,No,8,23
Math_67,No,8,40
Jsoup_65,No,13,40
Compress_44,No,16,40
Cli_24,No,16,40
Cli_13,No,9,40
Jsoup_11,No,8,36
Closure_50,No,10,40
Compress_3,No,15,40
Lang_46,No,19,40
Closure_60,No,18,40
Jsoup_1,No,0,3
Closure_95,No,26,40
Closure_161,No,23,37
Closure_122,Yes,7,22
