Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,18,40
JacksonCore_18,No,18,40
Math_77,No,29,40
Compress_11,No,18,40
JacksonCore_4,Yes,3,8
Closure_171,No,18,40
Compress_30,No,12,40
Closure_174,No,28,40
Compress_45,No,10,40
Closure_57,No,8,40
Lang_20,Yes,1,6
Closure_107,No,12,40
Csv_16,No,18,40
Jsoup_40,No,12,40
Chart_16,No,8,31
Lang_61,No,18,40
Jsoup_21,No,18,40
Closure_118,No,5,21
Jsoup_2,No,5,40
Codec_2,No,9,40
Math_70,Yes,10,40
Math_12,No,13,40
Lang_27,No,14,40
JacksonCore_24,No,16,40
Cli_33,No,20,40
Codec_15,No,14,40
Math_30,No,13,33
JacksonCore_12,No,12,40
Cli_26,No,19,40
JacksonCore_23,No,8,40
Csv_11,Yes,1,6
Lang_34,No,7,40
Math_87,No,35,40
Closure_155,No,2,10
Csv_2,No,10,40
JacksonCore_20,No,12,40
Math_19,No,9,40
Lang_32,No,5,40
Lang_16,Yes,26,40
Closure_76,No,24,40
Lang_22,Yes,4,11
Math_76,No,25,35
Compress_33,No,15,35
Compress_12,No,11,40
Csv_7,No,17,40
Closure_167,No,14,40
Closure_56,No,9,40
Closure_165,No,9,40
Lang_8,No,13,40
Cli_28,No,9,40
Cli_3,No,22,40
Closure_98,No,11,40
Jsoup_56,No,15,40
Lang_40,No,5,40
Jsoup_38,No,13,40
Codec_11,No,26,40
Closure_31,No,8,26
Closure_7,No,14,40
Math_31,No,14,40
Closure_80,No,17,40
Closure_27,No,8,21
Closure_47,No,13,40
Math_64,No,26,35
Closure_162,No,19,40
Closure_26,No,2,9
Compress_6,No,12,40
Closure_83,No,11,40
Closure_96,No,19,40
Cli_9,No,22,40
Closure_70,No,22,40
Math_17,No,20,40
Closure_91,No,11,40
JacksonCore_7,No,12,40
Closure_39,No,12,40
Jsoup_34,No,14,40
Closure_14,No,9,36
JacksonCore_8,No,8,40
Closure_52,Yes,19,27
Closure_158,No,21,40
Lang_47,No,12,40
Cli_38,No,11,40
Lang_18,No,1,40
Closure_29,No,6,14
Closure_35,No,10,40
JacksonCore_6,No,11,40
Math_3,No,1,8
Jsoup_27,No,14,40
Jsoup_92,No,0,3
Jsoup_72,No,30,40
Closure_129,No,6,40
Jsoup_76,No,9,40
Jsoup_59,No,13,40
Math_63,No,14,40
Chart_11,No,11,37
Closure_120,No,5,25
Codec_6,No,20,40
Lang_1,No,17,40
JacksonCore_2,No,15,40
Closure_36,No,15,40
Math_4,No,0,1
Math_66,No,20,28
Compress_31,No,17,40
Csv_6,No,16,40
Closure_130,No,5,40
Jsoup_79,No,11,35
Codec_18,No,6,40
Closure_170,No,12,40
Closure_1,No,9,39
Math_5,No,0,1
Math_46,No,12,22
Cli_29,No,21,40
Lang_57,No,21,40
Chart_9,Yes,9,31
Math_61,No,12,40
Lang_62,No,18,40
