Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,Yes,8,36
JacksonCore_18,No,28,37
Math_77,Yes,3,9
Compress_11,No,22,38
JacksonCore_4,No,19,40
Closure_171,No,16,40
Compress_30,No,20,40
Closure_174,No,23,40
Compress_45,No,10,40
Closure_57,No,2,40
Lang_20,Yes,5,14
Closure_107,No,11,25
Csv_16,No,13,40
Jsoup_40,No,15,40
Chart_16,No,9,30
Lang_61,No,16,40
Jsoup_21,No,20,40
Closure_118,No,4,40
Jsoup_2,No,8,40
Codec_2,No,8,40
Math_70,No,9,40
Math_12,No,23,40
Lang_27,No,13,40
JacksonCore_24,No,22,36
Cli_33,No,13,40
Codec_15,No,19,40
Math_30,No,19,40
JacksonCore_12,No,20,40
Cli_26,No,9,40
JacksonCore_23,No,5,40
Csv_11,Yes,1,6
Lang_34,No,15,40
Math_87,No,6,40
Closure_155,No,0,4
Csv_2,No,13,40
JacksonCore_20,No,4,40
Math_19,No,5,40
Lang_32,No,25,40
Lang_16,Yes,1,7
Closure_76,No,24,40
Lang_22,Yes,4,9
Math_76,No,28,40
Compress_33,No,20,40
Compress_12,No,7,40
Csv_7,No,10,40
Closure_167,No,13,40
Closure_56,No,10,40
Closure_165,No,9,40
Lang_8,No,12,40
Cli_28,No,10,40
Cli_3,No,17,40
Closure_98,No,8,40
Jsoup_56,No,18,40
Lang_40,No,6,40
Jsoup_38,No,10,40
Codec_11,No,11,35
Closure_31,Yes,3,11
Closure_7,No,16,40
Math_31,No,12,40
Closure_80,No,14,40
Closure_27,No,18,40
Closure_47,No,16,40
Math_64,No,15,28
Closure_162,No,10,40
Closure_26,No,1,14
Compress_6,No,20,40
Closure_83,No,9,40
Closure_96,No,11,40
Cli_9,No,10,40
Closure_70,No,10,40
Math_17,No,4,40
Closure_91,No,10,40
JacksonCore_7,No,11,40
Closure_39,No,12,40
Jsoup_34,No,4,36
Closure_14,No,7,40
JacksonCore_8,No,5,40
Closure_52,No,2,11
Closure_158,No,18,40
Lang_47,No,28,40
Cli_38,No,18,40
Lang_18,No,6,40
Closure_29,No,6,20
Closure_35,No,31,40
JacksonCore_6,No,11,40
Math_3,No,6,40
Jsoup_27,No,16,40
Jsoup_92,No,25,40
Jsoup_72,No,10,40
Closure_129,No,12,40
Jsoup_76,No,10,40
Jsoup_59,No,16,40
Math_63,No,20,27
Chart_11,No,12,40
Closure_120,No,9,40
Codec_6,No,15,40
Lang_1,No,14,40
JacksonCore_2,No,28,40
Closure_36,No,10,40
Math_4,No,11,40
Math_66,No,11,34
Compress_31,No,18,40
Csv_6,No,7,40
Closure_130,No,11,37
Jsoup_79,No,12,40
Codec_18,No,7,40
Closure_170,No,5,17
Closure_1,No,6,33
Math_5,No,5,32
Math_46,No,7,40
Cli_29,No,32,40
Lang_57,No,29,40
Chart_9,Yes,18,40
Math_61,No,18,33
Lang_62,No,15,40
Closure_38,No,28,37
Lang_49,No,8,40
Chart_21,No,5,40
Codec_8,No,20,40
Lang_21,Yes,1,6
Compress_41,No,13,40
Cli_12,No,7,40
Closure_16,No,0,3
Closure_78,Yes,4,8
Chart_8,No,11,40
Jsoup_75,No,19,40
Closure_79,No,10,40
